"Notes"	"ICD Chapter"	"ICD Chapter Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Other diseases of capillaries"	"I78.8"	1	83256835	Unreliable
"Total"	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"			1652	83256835	2.0
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Phlebitis and thrombophlebitis of femoral vein"	"I80.1"	2	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Phlebitis and thrombophlebitis of other deep vessels of lower extremities"	"I80.2"	675	83256835	0.8
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Phlebitis and thrombophlebitis of lower extremities, unspecified"	"I80.3"	92	83256835	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Phlebitis and thrombophlebitis of other sites"	"I80.8"	2	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Phlebitis and thrombophlebitis of unspecified site"	"I80.9"	2	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Portal vein thrombosis"	"I81"	19	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Budd-Chiari syndrome"	"I82.0"	3	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Embolism and thrombosis of vena cava"	"I82.2"	7	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Embolism and thrombosis of renal vein"	"I82.3"	1	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Embolism and thrombosis of other specified veins"	"I82.8"	7	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Embolism and thrombosis of unspecified vein"	"I82.9"	19	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Varicose veins of lower extremities with ulcer"	"I83.0"	3	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Varicose veins of lower extremities with inflammation"	"I83.1"	2	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Varicose veins of lower extremities with both ulcer and inflammation"	"I83.2"	1	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Varicose veins of lower extremities without ulcer or inflammation"	"I83.9"	27	83256835	0.0
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Unspecified haemorrhoids with other complications"	"I84.8"	1	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Unspecified haemorrhoids without complication"	"I84.9"	4	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Oesophageal varices with bleeding"	"I85.0"	24	83256835	0.0
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Oesophageal varices without bleeding"	"I85.9"	17	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Gastric varices"	"I86.4"	11	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Compression of vein"	"I87.1"	4	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Venous insufficiency (chronic)(peripheral)"	"I87.2"	2	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Other specified disorders of veins"	"I87.8"	3	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Disorder of vein, unspecified"	"I87.9"	5	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Nonspecific mesenteric lymphadenitis"	"I88.0"	1	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Lymphoedema, not elsewhere classified"	"I89.0"	11	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Other specified noninfective disorders of lymphatic vessels and lymph nodes"	"I89.8"	2	83256835	Unreliable
"Total"	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"			947	83256835	1.1
	"Diseases of the circulatory system"	"I00-I99"	"Other and unspecified disorders of the circulatory system"	"I95-I99"	"Orthostatic hypotension"	"I95.1"	1	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Other and unspecified disorders of the circulatory system"	"I95-I99"	"Other hypotension"	"I95.8"	1	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Other and unspecified disorders of the circulatory system"	"I95-I99"	"Hypotension, unspecified"	"I95.9"	17	83256835	Unreliable
	"Diseases of the circulatory system"	"I00-I99"	"Other and unspecified disorders of the circulatory system"	"I95-I99"	"Other and unspecified disorders of circulatory system"	"I99"	17	83256835	Unreliable
"Total"	"Diseases of the circulatory system"	"I00-I99"	"Other and unspecified disorders of the circulatory system"	"I95-I99"			36	83256835	0.0
"Total"	"Diseases of the circulatory system"	"I00-I99"					56408	83256835	67.8
	"Diseases of the respiratory system"	"J00-J98"	"Acute upper respiratory infections"	"J00-J06"	"Acute pansinusitis"	"J01.4"	1	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Acute upper respiratory infections"	"J00-J06"	"Streptococcal pharyngitis"	"J02.0"	6	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Acute upper respiratory infections"	"J00-J06"	"Acute pharyngitis, unspecified"	"J02.9"	1	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Acute upper respiratory infections"	"J00-J06"	"Acute laryngitis"	"J04.0"	1	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Acute upper respiratory infections"	"J00-J06"	"Acute tracheitis"	"J04.1"	3	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Acute upper respiratory infections"	"J00-J06"	"Acute epiglottitis"	"J05.1"	7	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Acute upper respiratory infections"	"J00-J06"	"Acute upper respiratory infection, unspecified"	"J06.9"	12	83256835	Unreliable
"Total"	"Diseases of the respiratory system"	"J00-J98"	"Acute upper respiratory infections"	"J00-J06"			31	83256835	0.0
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Influenza due to identified avian influenza virus"	"J09"	89	83256835	0.1
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Influenza with pneumonia, influenza virus identified"	"J10.0"	115	83256835	0.1
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	80	83256835	0.1
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Influenza with other manifestations, influenza virus identified"	"J10.8"	3	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Influenza with pneumonia, virus not identified"	"J11.0"	128	83256835	0.2
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	98	83256835	0.1
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Influenza with other manifestations, virus not identified"	"J11.8"	3	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Adenoviral pneumonia"	"J12.0"	4	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Parainfluenza virus pneumonia"	"J12.2"	2	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Human metapneumovirus pneumonia"	"J12.3"	1	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Other viral pneumonia"	"J12.8"	4	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Viral pneumonia, unspecified"	"J12.9"	22	83256835	0.0
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	59	83256835	0.1
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Pneumonia due to Haemophilus influenzae"	"J14"	2	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Pneumonia due to Klebsiella pneumoniae"	"J15.0"	11	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Pneumonia due to Pseudomonas"	"J15.1"	28	83256835	0.0
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Pneumonia due to staphylococcus"	"J15.2"	70	83256835	0.1
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Pneumonia due to streptococcus, group B"	"J15.3"	1	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Pneumonia due to other streptococci"	"J15.4"	32	83256835	0.0
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Pneumonia due to Escherichia coli"	"J15.5"	4	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Pneumonia due to other aerobic Gram-negative bacteria"	"J15.6"	5	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Pneumonia due to Mycoplasma pneumoniae"	"J15.7"	2	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Other bacterial pneumonia"	"J15.8"	6	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Bacterial pneumonia, unspecified"	"J15.9"	86	83256835	0.1
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Bronchopneumonia, unspecified"	"J18.0"	192	83256835	0.2
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Lobar pneumonia, unspecified"	"J18.1"	152	83256835	0.2
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Hypostatic pneumonia, unspecified"	"J18.2"	6	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	"Pneumonia, unspecified"	"J18.9"	1822	83256835	2.2
"Total"	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"			3027	83256835	3.6
	"Diseases of the respiratory system"	"J00-J98"	"Other acute lower respiratory infections"	"J20-J22"	"Acute bronchitis, unspecified"	"J20.9"	8	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other acute lower respiratory infections"	"J20-J22"	"Acute bronchiolitis due to other specified organisms"	"J21.8"	1	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other acute lower respiratory infections"	"J20-J22"	"Acute bronchiolitis, unspecified"	"J21.9"	1	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other acute lower respiratory infections"	"J20-J22"	"Unspecified acute lower respiratory infection"	"J22"	1	83256835	Unreliable
"Total"	"Diseases of the respiratory system"	"J00-J98"	"Other acute lower respiratory infections"	"J20-J22"			11	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	"Chronic maxillary sinusitis"	"J32.0"	1	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	"Chronic pansinusitis"	"J32.4"	2	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	"Chronic sinusitis, unspecified"	"J32.9"	3	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	"Other specified disorders of nose and nasal sinuses"	"J34.8"	2	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	"Chronic disease of tonsils and adenoids, unspecified"	"J35.9"	1	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	"Peritonsillar abscess"	"J36"	4	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	"Chronic laryngitis"	"J37.0"	1	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	"Paralysis of vocal cords and larynx"	"J38.0"	1	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	"Other diseases of vocal cords"	"J38.3"	1	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	"Oedema of larynx"	"J38.4"	2	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	"Stenosis of larynx"	"J38.6"	2	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	"Other diseases of larynx"	"J38.7"	2	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	"Retropharyngeal and parapharyngeal abscess"	"J39.0"	4	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	"Other abscess of pharynx"	"J39.1"	5	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	"Other diseases of pharynx"	"J39.2"	1	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	"Other specified diseases of upper respiratory tract"	"J39.8"	28	83256835	0.0
"Total"	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"			60	83256835	0.1
	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	"Bronchitis, not specified as acute or chronic"	"J40"	19	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	"Unspecified chronic bronchitis"	"J42"	9	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	"Panlobular emphysema"	"J43.1"	2	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	"Centrilobular emphysema"	"J43.2"	8	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	"Emphysema, unspecified"	"J43.9"	296	83256835	0.4
	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	"Chronic obstructive pulmonary disease with acute lower respiratory infection"	"J44.0"	522	83256835	0.6
	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	"Chronic obstructive pulmonary disease with acute exacerbation, unspecified"	"J44.1"	211	83256835	0.3
	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	"Other specified chronic obstructive pulmonary disease"	"J44.8"	109	83256835	0.1
	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	2950	83256835	3.5
	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	"Predominantly allergic asthma"	"J45.0"	2	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	"Nonallergic asthma"	"J45.1"	1	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	"Asthma, unspecified"	"J45.9"	715	83256835	0.9
	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	"Status asthmaticus"	"J46"	125	83256835	0.2
	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	"Bronchiectasis"	"J47"	30	83256835	0.0
"Total"	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"			4999	83256835	6.0
	"Diseases of the respiratory system"	"J00-J98"	"Lung diseases due to external agents"	"J60-J70"	"Coalworker pneumoconiosis"	"J60"	4	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Lung diseases due to external agents"	"J60-J70"	"Pneumoconiosis due to talc dust"	"J62.0"	2	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Lung diseases due to external agents"	"J60-J70"	"Pneumoconiosis due to other dust containing silica"	"J62.8"	5	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Lung diseases due to external agents"	"J60-J70"	"Hypersensitivity pneumonitis due to unspecified organic dust"	"J67.9"	14	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Lung diseases due to external agents"	"J60-J70"	"Bronchitis and pneumonitis due to chemicals, gases, fumes and vapours"	"J68.0"	4	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Lung diseases due to external agents"	"J60-J70"	"Pneumonitis due to food and vomit"	"J69.0"	727	83256835	0.9
	"Diseases of the respiratory system"	"J00-J98"	"Lung diseases due to external agents"	"J60-J70"	"Acute pulmonary manifestations due to radiation"	"J70.0"	2	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Lung diseases due to external agents"	"J60-J70"	"Chronic and other pulmonary manifestations due to radiation"	"J70.1"	2	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Lung diseases due to external agents"	"J60-J70"	"Drug-induced interstitial lung disorders, unspecified"	"J70.4"	1	83256835	Unreliable
"Total"	"Diseases of the respiratory system"	"J00-J98"	"Lung diseases due to external agents"	"J60-J70"			761	83256835	0.9
	"Diseases of the respiratory system"	"J00-J98"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	"Adult respiratory distress syndrome"	"J80"	312	83256835	0.4
	"Diseases of the respiratory system"	"J00-J98"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	"Pulmonary oedema"	"J81"	40	83256835	0.0
	"Diseases of the respiratory system"	"J00-J98"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	"Pulmonary eosinophilia, not elsewhere classified"	"J82"	11	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	"Alveolar and parietoalveolar conditions"	"J84.0"	33	83256835	0.0
	"Diseases of the respiratory system"	"J00-J98"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	"Other interstitial pulmonary diseases with fibrosis"	"J84.1"	318	83256835	0.4
	"Diseases of the respiratory system"	"J00-J98"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	"Other specified interstitial pulmonary diseases"	"J84.8"	2	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	"Interstitial pulmonary disease, unspecified"	"J84.9"	264	83256835	0.3
"Total"	"Diseases of the respiratory system"	"J00-J98"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"			980	83256835	1.2
	"Diseases of the respiratory system"	"J00-J98"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	"Gangrene and necrosis of lung"	"J85.0"	33	83256835	0.0
	"Diseases of the respiratory system"	"J00-J98"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	"Abscess of lung with pneumonia"	"J85.1"	11	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	"Abscess of lung without pneumonia"	"J85.2"	12	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	"Abscess of mediastinum"	"J85.3"	3	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	"Pyothorax with fistula"	"J86.0"	15	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	"Pyothorax without fistula"	"J86.9"	48	83256835	0.1
"Total"	"Diseases of the respiratory system"	"J00-J98"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"			122	83256835	0.1
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of pleura"	"J90-J94"	"Pleural effusion, not elsewhere classified"	"J90"	34	83256835	0.0
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of pleura"	"J90-J94"	"Spontaneous tension pneumothorax"	"J93.0"	5	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of pleura"	"J90-J94"	"Other spontaneous pneumothorax"	"J93.1"	3	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of pleura"	"J90-J94"	"Pneumothorax, unspecified"	"J93.9"	13	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of pleura"	"J90-J94"	"Haemothorax"	"J94.2"	3	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of pleura"	"J90-J94"	"Other specified pleural conditions"	"J94.8"	2	83256835	Unreliable
"Total"	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of pleura"	"J90-J94"			60	83256835	0.1
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of the respiratory system"	"J96-J98"	"Acute respiratory failure"	"J96.0"	133	83256835	0.2
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of the respiratory system"	"J96-J98"	"Chronic respiratory failure"	"J96.1"	181	83256835	0.2
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of the respiratory system"	"J96-J98"	"Respiratory failure, unspecified"	"J96.9"	244	83256835	0.3
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of the respiratory system"	"J96-J98"	"Diseases of bronchus, not elsewhere classified"	"J98.0"	9	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of the respiratory system"	"J96-J98"	"Pulmonary collapse"	"J98.1"	7	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of the respiratory system"	"J96-J98"	"Interstitial emphysema"	"J98.2"	9	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of the respiratory system"	"J96-J98"	"Other disorders of lung"	"J98.4"	152	83256835	0.2
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of the respiratory system"	"J96-J98"	"Diseases of mediastinum, not elsewhere classified"	"J98.5"	14	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of the respiratory system"	"J96-J98"	"Disorders of diaphragm"	"J98.6"	4	83256835	Unreliable
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of the respiratory system"	"J96-J98"	"Other specified respiratory disorders"	"J98.8"	47	83256835	0.1
	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of the respiratory system"	"J96-J98"	"Respiratory disorder, unspecified"	"J98.9"	31	83256835	0.0
"Total"	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of the respiratory system"	"J96-J98"			831	83256835	1.0
"Total"	"Diseases of the respiratory system"	"J00-J98"					10882	83256835	13.1
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	"Dental caries, unspecified"	"K02.9"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	"Periapical abscess without sinus"	"K04.7"	12	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	"Chronic gingivitis"	"K05.1"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	"Other specified disorders of teeth and supporting structures"	"K08.8"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	"Alveolitis of jaws"	"K10.3"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	"Sialoadenitis"	"K11.2"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	"Fistula of salivary gland"	"K11.4"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	"Other forms of stomatitis"	"K12.1"	3	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	"Cellulitis and abscess of mouth"	"K12.2"	7	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	"Other and unspecified lesions of oral mucosa"	"K13.7"	1	83256835	Unreliable
"Total"	"Diseases of the digestive system"	"K00-K92"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"			29	83256835	0.0
